Train Epoch: [1/15] Iters:[590/20018] gen_loss 0.8428, rec_loss 0.0257, lpips_loss 0.1875, g_loss 0.1806, disc_weight 0.4000, disc_adaptive_weight 3.4846, d_loss 0.4873, logits_real -0.1810, logits_fake -0.1805,
Train Epoch: [1/15] Iters:[600/20018] gen_loss 0.8554, rec_loss 0.0252, lpips_loss 0.1868, g_loss 0.1803, disc_weight 0.4000, disc_adaptive_weight 3.5686, d_loss 0.4860, logits_real -0.1805, logits_fake -0.1801,
Train Epoch: [1/15] Iters:[610/20018] gen_loss 0.8786, rec_loss 0.0253, lpips_loss 0.1858, g_loss 0.1798, disc_weight 0.4000, disc_adaptive_weight 3.7133, d_loss 0.4836, logits_real -0.1802, logits_fake -0.1797,
Train Epoch: [1/15] Iters:[620/20018] gen_loss 0.8858, rec_loss 0.0254, lpips_loss 0.1852, g_loss 0.1796, disc_weight 0.4000, disc_adaptive_weight 3.7599, d_loss 0.4815, logits_real -0.1800, logits_fake -0.1794,
Train Epoch: [1/15] Iters:[630/20018] gen_loss 0.8833, rec_loss 0.0252, lpips_loss 0.1844, g_loss 0.1790, disc_weight 0.4000, disc_adaptive_weight 3.7644, d_loss 0.4788, logits_real -0.1794, logits_fake -0.1789,
Train Epoch: [1/15] Iters:[640/20018] gen_loss 0.8674, rec_loss 0.0250, lpips_loss 0.1837, g_loss 0.1784, disc_weight 0.4000, disc_adaptive_weight 3.6920, d_loss 0.4768, logits_real -0.1788, logits_fake -0.1785,
Train Epoch: [1/15] Iters:[650/20018] gen_loss 0.8449, rec_loss 0.0251, lpips_loss 0.1838, g_loss 0.1779, disc_weight 0.4000, disc_adaptive_weight 3.5740, d_loss 0.4747, logits_real -0.1782, logits_fake -0.1780,
Train Epoch: [1/15] Iters:[660/20018] gen_loss 0.8415, rec_loss 0.0249, lpips_loss 0.1839, g_loss 0.1776, disc_weight 0.4000, disc_adaptive_weight 3.5603, d_loss 0.4727, logits_real -0.1777, logits_fake -0.1778,
Train Epoch: [1/15] Iters:[670/20018] gen_loss 0.8512, rec_loss 0.0248, lpips_loss 0.1846, g_loss 0.1772, disc_weight 0.4000, disc_adaptive_weight 3.6227, d_loss 0.4720, logits_real -0.1773, logits_fake -0.1775,
Train Epoch: [1/15] Iters:[680/20018] gen_loss 0.9035, rec_loss 0.0249, lpips_loss 0.1850, g_loss 0.1768, disc_weight 0.4000, disc_adaptive_weight 3.9271, d_loss 0.4706, logits_real -0.1770, logits_fake -0.1770,
