Train Epoch: [1/10] Iters:[460/20018] gen_loss -0.5841, rec_loss 0.0234, lpips_loss 0.1772, g_loss -0.2351, disc_weight 0.4000, disc_adaptive_weight 3.3335, d_loss 0.5138, logits_real 0.2332, logits_fake 0.2351,
Train Epoch: [1/10] Iters:[470/20018] gen_loss -0.5123, rec_loss 0.0236, lpips_loss 0.1790, g_loss -0.2339, disc_weight 0.4000, disc_adaptive_weight 3.0577, d_loss 0.5113, logits_real 0.2319, logits_fake 0.2338,
Train Epoch: [1/10] Iters:[480/20018] gen_loss -0.5306, rec_loss 0.0235, lpips_loss 0.1791, g_loss -0.2326, disc_weight 0.4000, disc_adaptive_weight 3.1506, d_loss 0.5085, logits_real 0.2308, logits_fake 0.2323,
Train Epoch: [1/10] Iters:[490/20018] gen_loss -0.5520, rec_loss 0.0230, lpips_loss 0.1779, g_loss -0.2316, disc_weight 0.4000, disc_adaptive_weight 3.2528, d_loss 0.5056, logits_real 0.2294, logits_fake 0.2313,
Train Epoch: [1/10] Iters:[500/20018] gen_loss -0.6356, rec_loss 0.0231, lpips_loss 0.1776, g_loss -0.2304, disc_weight 0.4000, disc_adaptive_weight 3.6350, d_loss 0.5031, logits_real 0.2283, logits_fake 0.2301,
Train Epoch: [1/10] Iters:[510/20018] gen_loss -0.6811, rec_loss 0.0232, lpips_loss 0.1784, g_loss -0.2293, disc_weight 0.4000, disc_adaptive_weight 3.8522, d_loss 0.5012, logits_real 0.2271, logits_fake 0.2291,
Train Epoch: [1/10] Iters:[520/20018] gen_loss -0.6648, rec_loss 0.0233, lpips_loss 0.1771, g_loss -0.2283, disc_weight 0.4000, disc_adaptive_weight 3.7906, d_loss 0.4981, logits_real 0.2263, logits_fake 0.2280,
Train Epoch: [1/10] Iters:[530/20018] gen_loss -0.6867, rec_loss 0.0236, lpips_loss 0.1773, g_loss -0.2274, disc_weight 0.4000, disc_adaptive_weight 3.9016, d_loss 0.4956, logits_real 0.2255, logits_fake 0.2274,
Train Epoch: [1/10] Iters:[540/20018] gen_loss -0.6951, rec_loss 0.0241, lpips_loss 0.1778, g_loss -0.2262, disc_weight 0.4000, disc_adaptive_weight 3.9633, d_loss 0.4939, logits_real 0.2245, logits_fake 0.2263,
Train Epoch: [1/10] Iters:[550/20018] gen_loss -0.6045, rec_loss 0.0242, lpips_loss 0.1785, g_loss -0.2252, disc_weight 0.4000, disc_adaptive_weight 3.5842, d_loss 0.4912, logits_real 0.2235, logits_fake 0.2253,
Train Epoch: [1/10] Iters:[560/20018] gen_loss -0.5651, rec_loss 0.0241, lpips_loss 0.1795, g_loss -0.2242, disc_weight 0.4000, disc_adaptive_weight 3.4290, d_loss 0.4885, logits_real 0.2226, logits_fake 0.2243,
Train Epoch: [1/10] Iters:[570/20018] gen_loss -0.6034, rec_loss 0.0241, lpips_loss 0.1797, g_loss -0.2232, disc_weight 0.4000, disc_adaptive_weight 3.6169, d_loss 0.4866, logits_real 0.2214, logits_fake 0.2232,
Train Epoch: [1/10] Iters:[580/20018] gen_loss -0.5737, rec_loss 0.0238, lpips_loss 0.1790, g_loss -0.2221, disc_weight 0.4000, disc_adaptive_weight 3.4942, d_loss 0.4847, logits_real 0.2203, logits_fake 0.2220,
Train Epoch: [1/10] Iters:[590/20018] gen_loss -0.5259, rec_loss 0.0239, lpips_loss 0.1798, g_loss -0.2212, disc_weight 0.4000, disc_adaptive_weight 3.2968, d_loss 0.4825, logits_real 0.2195, logits_fake 0.2211,
Train Epoch: [1/10] Iters:[600/20018] gen_loss -0.5506, rec_loss 0.0236, lpips_loss 0.1794, g_loss -0.2203, disc_weight 0.4000, disc_adaptive_weight 3.4208, d_loss 0.4805, logits_real 0.2187, logits_fake 0.2199,
Train Epoch: [1/10] Iters:[610/20018] gen_loss -0.5318, rec_loss 0.0237, lpips_loss 0.1785, g_loss -0.2190, disc_weight 0.4000, disc_adaptive_weight 3.3495, d_loss 0.4786, logits_real 0.2175, logits_fake 0.2188,
Train Epoch: [1/10] Iters:[620/20018] gen_loss -0.4998, rec_loss 0.0238, lpips_loss 0.1782, g_loss -0.2179, disc_weight 0.4000, disc_adaptive_weight 3.2206, d_loss 0.4765, logits_real 0.2166, logits_fake 0.2177,
Train Epoch: [1/10] Iters:[630/20018] gen_loss -0.5362, rec_loss 0.0236, lpips_loss 0.1777, g_loss -0.2168, disc_weight 0.4000, disc_adaptive_weight 3.4009, d_loss 0.4743, logits_real 0.2154, logits_fake 0.2167,
Train Epoch: [1/10] Iters:[640/20018] gen_loss -0.5553, rec_loss 0.0234, lpips_loss 0.1770, g_loss -0.2156, disc_weight 0.4000, disc_adaptive_weight 3.5040, d_loss 0.4721, logits_real 0.2144, logits_fake 0.2154,
Train Epoch: [1/10] Iters:[650/20018] gen_loss -0.5579, rec_loss 0.0236, lpips_loss 0.1770, g_loss -0.2146, disc_weight 0.4000, disc_adaptive_weight 3.5355, d_loss 0.4705, logits_real 0.2134, logits_fake 0.2146,
Train Epoch: [1/10] Iters:[660/20018] gen_loss -0.6291, rec_loss 0.0234, lpips_loss 0.1769, g_loss -0.2136, disc_weight 0.4000, disc_adaptive_weight 3.8850, d_loss 0.4685, logits_real 0.2122, logits_fake 0.2136,
Train Epoch: [1/10] Iters:[670/20018] gen_loss -0.6410, rec_loss 0.0232, lpips_loss 0.1776, g_loss -0.2128, disc_weight 0.4000, disc_adaptive_weight 3.9563, d_loss 0.4675, logits_real 0.2113, logits_fake 0.2127,
Train Epoch: [1/10] Iters:[680/20018] gen_loss -0.6191, rec_loss 0.0233, lpips_loss 0.1781, g_loss -0.2117, disc_weight 0.4000, disc_adaptive_weight 3.8758, d_loss 0.4660, logits_real 0.2103, logits_fake 0.2115,
Train Epoch: [1/10] Iters:[690/20018] gen_loss -0.6249, rec_loss 0.0233, lpips_loss 0.1787, g_loss -0.2107, disc_weight 0.4000, disc_adaptive_weight 3.9241, d_loss 0.4642, logits_real 0.2093, logits_fake 0.2107,
Train Epoch: [1/10] Iters:[700/20018] gen_loss -0.6201, rec_loss 0.0234, lpips_loss 0.1783, g_loss -0.2095, disc_weight 0.4000, disc_adaptive_weight 3.9218, d_loss 0.4626, logits_real 0.2082, logits_fake 0.2094,
Train Epoch: [1/10] Iters:[710/20018] gen_loss -0.5728, rec_loss 0.0236, lpips_loss 0.1783, g_loss -0.2086, disc_weight 0.4000, disc_adaptive_weight 3.7127, d_loss 0.4617, logits_real 0.2075, logits_fake 0.2087,
Train Epoch: [1/10] Iters:[720/20018] gen_loss -0.5779, rec_loss 0.0236, lpips_loss 0.1776, g_loss -0.2076, disc_weight 0.4000, disc_adaptive_weight 3.7515, d_loss 0.4600, logits_real 0.2065, logits_fake 0.2078,
Train Epoch: [1/10] Iters:[730/20018] gen_loss -0.5680, rec_loss 0.0240, lpips_loss 0.1784, g_loss -0.2068, disc_weight 0.4000, disc_adaptive_weight 3.7240, d_loss 0.4589, logits_real 0.2056, logits_fake 0.2069,
Train Epoch: [1/10] Iters:[740/20018] gen_loss -0.5274, rec_loss 0.0242, lpips_loss 0.1786, g_loss -0.2059, disc_weight 0.4000, disc_adaptive_weight 3.5435, d_loss 0.4577, logits_real 0.2047, logits_fake 0.2062,
Train Epoch: [1/10] Iters:[750/20018] gen_loss -0.5180, rec_loss 0.0239, lpips_loss 0.1780, g_loss -0.2051, disc_weight 0.4000, disc_adaptive_weight 3.5096, d_loss 0.4563, logits_real 0.2036, logits_fake 0.2053,
Train Epoch: [1/10] Iters:[760/20018] gen_loss -0.5433, rec_loss 0.0236, lpips_loss 0.1784, g_loss -0.2040, disc_weight 0.4000, disc_adaptive_weight 3.6541, d_loss 0.4547, logits_real 0.2025, logits_fake 0.2042,
